epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
79,24240.2,0.00633,1,1,0.0004,0.000379743,0.000379743,0.000379743
80,24538.8,0.00761,1,1,0.00091,0.000363239,0.000363239,0.000363239
81,24838.1,0.00698,1,1,0.00058,0.000346736,0.000346736,0.000346736
82,25136.7,0.00505,1,1,0.00096,0.000330233,0.000330233,0.000330233
83,25435,0.00286,1,1,0.00061,0.000313729,0.000313729,0.000313729
84,25731.5,0.00383,1,1,0.0017,0.000297226,0.000297226,0.000297226
85,26028.8,0.00427,1,1,0.00035,0.000280723,0.000280723,0.000280723
86,26327.4,0.0071,1,1,0.00057,0.00026422,0.00026422,0.00026422
87,26626.5,0.00399,1,1,0.00039,0.000247716,0.000247716,0.000247716
88,26925.1,0.00614,1,1,0.00045,0.000231213,0.000231213,0.000231213
89,27222.6,0.00195,1,1,0.00031,0.00021471,0.00021471,0.00021471
90,27520.3,0.00216,1,1,0.00017,0.000198206,0.000198206,0.000198206
91,27820.5,0.0096,1,1,0.00023,0.000181703,0.000181703,0.000181703
92,28119.3,0.005,1,1,0.00054,0.0001652,0.0001652,0.0001652
93,28418.9,0.0023,1,1,0.00037,0.000148696,0.000148696,0.000148696
94,28718.7,0.00531,1,1,0.00022,0.000132193,0.000132193,0.000132193
95,29018,0.0036,1,1,0.00021,0.00011569,0.00011569,0.00011569
96,29316.7,0.00388,1,1,0.00019,9.91865e-05,9.91865e-05,9.91865e-05
97,29616,0.00359,1,1,0.00017,8.26832e-05,8.26832e-05,8.26832e-05
98,29914.1,0.0047,1,1,0.0002,6.61799e-05,6.61799e-05,6.61799e-05
99,30212.6,0.00355,1,1,0.00021,4.96766e-05,4.96766e-05,4.96766e-05
100,30508.9,0.00366,1,1,0.00027,3.31733e-05,3.31733e-05,3.31733e-05
