epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
80,27997.6,0.0298,1,1,0.00129,0.000363239,0.000363239,0.000363239
81,28348.8,0.02306,1,1,0.00401,0.000346736,0.000346736,0.000346736
82,28700.9,0.01771,1,1,0.00114,0.000330233,0.000330233,0.000330233
83,29052.2,0.0233,1,1,0.00307,0.000313729,0.000313729,0.000313729
84,29403,0.02091,1,1,0.00066,0.000297226,0.000297226,0.000297226
85,29752.9,0.02229,1,1,0.00141,0.000280723,0.000280723,0.000280723
86,30103.4,0.02309,1,1,0.0016,0.00026422,0.00026422,0.00026422
87,30454.5,0.02039,1,1,0.00182,0.000247716,0.000247716,0.000247716
88,30801.2,0.01908,1,1,0.0011,0.000231213,0.000231213,0.000231213
89,31146.7,0.01967,1,1,0.00084,0.00021471,0.00021471,0.00021471
90,31496.2,0.01834,1,1,0.00115,0.000198206,0.000198206,0.000198206
91,31842.7,0.01881,1,1,0.00057,0.000181703,0.000181703,0.000181703
92,32192,0.01657,1,1,0.00027,0.0001652,0.0001652,0.0001652
93,32537.5,0.02398,1,1,0.00077,0.000148696,0.000148696,0.000148696
94,32884.8,0.02,1,1,0.00087,0.000132193,0.000132193,0.000132193
95,33230.7,0.02183,1,1,0.00086,0.00011569,0.00011569,0.00011569
96,33578.6,0.01957,1,1,0.00102,9.91865e-05,9.91865e-05,9.91865e-05
97,33928.7,0.01861,1,1,0.0014,8.26832e-05,8.26832e-05,8.26832e-05
98,34276,0.02241,1,1,0.0008,6.61799e-05,6.61799e-05,6.61799e-05
99,34627.2,0.01703,1,1,0.00062,4.96766e-05,4.96766e-05,4.96766e-05
100,34977.9,0.01841,1,1,0.00071,3.31733e-05,3.31733e-05,3.31733e-05
