epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
78,6171.6,0.00936,0.99301,1,0.02813,0.000819831,0.000819831,0.000819831
79,6248.44,0.0156,0.99301,1,0.03462,0.000808828,0.000808828,0.000808828
80,6326.55,0.01383,0.99301,1,0.06121,0.000797826,0.000797826,0.000797826
81,6404.65,0.01679,0.99301,1,0.03756,0.000786824,0.000786824,0.000786824
82,6482.71,0.02491,0.99301,1,0.03573,0.000775822,0.000775822,0.000775822
83,6560.2,0.01846,0.99301,1,0.01724,0.00076482,0.00076482,0.00076482
84,6637.82,0.01894,0.99301,1,0.03983,0.000753817,0.000753817,0.000753817
85,6715.29,0.01313,0.99301,1,0.02715,0.000742815,0.000742815,0.000742815
86,6793.73,0.01391,0.99301,1,0.02865,0.000731813,0.000731813,0.000731813
87,6870.78,0.01434,0.99301,1,0.03167,0.000720811,0.000720811,0.000720811
88,6948.72,0.01409,0.99301,1,0.02767,0.000709809,0.000709809,0.000709809
89,7028.02,0.01971,0.99301,1,0.02795,0.000698806,0.000698806,0.000698806
90,7105.63,0.01069,0.99301,1,0.02561,0.000687804,0.000687804,0.000687804
91,7183.22,0.01224,0.99301,1,0.02569,0.000676802,0.000676802,0.000676802
92,7261.66,0.01296,0.99301,1,0.0244,0.0006658,0.0006658,0.0006658
93,7340.48,0.01657,0.99301,1,0.0288,0.000654798,0.000654798,0.000654798
94,7419.49,0.01597,0.99301,1,0.05823,0.000643795,0.000643795,0.000643795
95,7500.13,0.01344,0.99301,1,0.0238,0.000632793,0.000632793,0.000632793
96,7583.51,0.01002,0.99301,1,0.02539,0.000621791,0.000621791,0.000621791
97,7662.75,0.0236,0.99301,1,0.02402,0.000610789,0.000610789,0.000610789
98,7740.26,0.01708,0.99301,1,0.0285,0.000599787,0.000599787,0.000599787
99,7818.54,0.01973,0.99301,1,0.03146,0.000588784,0.000588784,0.000588784
100,7898.59,0.00949,0.99301,1,0.07261,0.000577782,0.000577782,0.000577782
101,7979.35,0.01537,0.99301,1,0.03603,0.00056678,0.00056678,0.00056678
102,8061.52,0.01227,0.99301,1,0.03135,0.000555778,0.000555778,0.000555778
